block,Week1,WEEK,SESSION,Day,Month,TOPIC,ASSIGNMENT DISTRIBUTED or DUE,duration,In-Class Activity,notes,
WHY ARE WE FASCINATED BY TROPICAL RAIN FORESTS?,Week ,1,1,18,Aug,No Class (course begins Thursday),,1,,,
,,,2,20,Aug,Course Welcome and Introduction,,2,"Intros, Cacao Questions, Survey",,
,Week ,2,1,25,Aug,Historical Narratives,,1,text analysis on their own,,
,,,2,27,Aug,"Historical Narratives, continued",,2,group work on text analyses,,
,Week ,3,1,1,Sep,Rain forests in Art & Literature,,1,Q from readings,,0
,,,2,3,Sep,The Rain Forest in Pop Culture,Movie Reviews Assigned,2,movie trailer exercise,,2
THE ECOLOGY and EVOLUTION OF TROPICAL RAIN FORESTS,Week ,4,1,8,Sep,What is a Rain Forest?,,1,video analysis,,7
,,,2,10,Sep,What else is a Rain Forest? ,,2,Trivia,,9
,Week ,5,1,15,Sep,Patterns of biodiversity,,1,local diversity,,14
,,,2,17,Sep,"Patterns of biodiversity, continued",,2,latitudinal diversity gradient,,16
,Week ,6,1,22,Sep,Origins of tropical biodiversity,,1,?,,21
,,,2,24,Sep,Maintenance of tropical biodiversity ,,2,?,Include Forest disturbance,23
,Week ,7,1,29,Sep,Humans in rain forests,,1,class q and questions from reading,,28
,,,2,1,Oct,"Humans in rain forests, continued",Movie Reviews Due,2,demog exercise,,0
,Week ,8,1,6,Oct,Paradox of Luxuriance & (Bio)Narratives Revisited,,1,?,,5
,,,2,8,Oct,JUNGLE FILM FESTIVAL,,2,qs about reading,,7
THE CAUSES & CONSEQUENCES OF DEFORESTATION,Week ,9,1,13,Oct,How much rain forest is there?,Analytic Essay Assigned,1,what is a forest + qs about reading,,12
,,,2,15,Oct,How much rain forest have we lost?,,2,global forest watch exercise,,14
,Week ,10,1,20,Oct,Drivers of deforestation,,1,class cattle article exercise,,19
,,,2,22,Oct,"Drivers of deforestation, continued",,2,palm oil,,21
,Week ,11,1,27,Oct,Tropical forests and climate,Analytic Essay Due,1,climate stripes ,,26
,,,2,29,Oct,Tropical forests and climate change,Reflective Essay Assigned,2,Inroads,,28
THE FUTURE OF RAIN FORESTS,Week ,12,1,3,Nov,International conservation frameworks ,,2,,introduce tropical fruit crop markers,2
,,,2,5,Nov,Global trade in tropical commodities & DURIAN FEST,,2,durian fest slip + questions about reading,,4
,Week ,13,1,10,Nov,Consumer choices & rain forest conservation,,1,supply chains,,9
,,,2,12,Nov,Community-based Conservation,,1,Final Project Assigned ,,16
,Week ,14,1,17,Nov,No class - Thanksgiving,,1,-,,23
,,,2,19,Nov,No class - Thanksgiving,,2,-,,25
,Week ,15,1,24,Nov,"Protected Areas, Reforestation, and Regeneration",,2,Conservation Game,,18
,,,2,26,Nov,Media coverage of rain forests,,,,,
,Week ,16,1,1,Dec,Rain forest and global health,Final Project Due,1,?,,0
,,,2,3,Dec,No Class (Reading Days),,2,-,,2
,Finals Week,,,10,Dec,No Final Exam,,,-,,9
